"","Binomial","Common_name","Num_pops","Start_year","End_year","Avg_p_chg"
"316","Anaxyrus_terrestris","Southern toad","3","1988","2007","250"
"317","Desmognathus_aeneus","Seepage salamander","1","1986","1990","233"
"318","Desmognathus_monticola","Seal salamander","2","1981","1991","28"
"319","Desmognathus_ochrophaeus","Allegheny Mountain dusky salamander","2","1983","2004","135"
"320","Desmognathus_quadramaculatus","Blackbelly salamander","2","1987","2000","81"
"321","Eleutherodactylus_planirostris","Greenhouse frog","1","1986","1990","700"
"322","Eurycea_nana","San Marcos salamander","1","1976","1993","21"
"323","Eurycea_quadridigitata","Dwarf salamander","2","1989","1995","800"
"324","Gastrophryne_carolinensis","Eastern narrowmouth toad","1","1988","1995","62"
"325","Dryophytes_versicolor","Gray treefrog / Eastern gray treefrog","7","1990","2006","94"
"326","Notophthalmus_viridescens","Eastern newt","5","1974","1996","157"
"327","Plethodon_glutinosus","Slimy salamander","1","1981","1990","550"
"328","Plethodon_jordani","Jordan's salamander","2","1974","1990","68"
"329","Pseudacris_crucifer","Spring peeper / Northern spring peeper","6","1988","2006","150"
"330","Pseudacris_nigrita","Southern chorus frog","1","1987","1995","300"
"331","Pseudacris_maculata","Boreal chorus frog","7","1971","2006","134"
"332","Lithobates_catesbeianus","American bullfrog","10","1990","2006","109"
"333","Lithobates_clamitans","Green frog","11","1986","2011","39"
"334","Lithobates_pipiens","Northern leopard frog","9","1978","2011","117"
"335","Lithobates_septentrionalis","Mink frog","2","1985","2005","374"
"336","Lithobates_sylvaticus","Wood frog","20","1977","2006","8202"
"337","Lithobates_sphenocephalus","Southern leopard frog","1","1988","1995","400"
"338","Scaphiopus_holbrookii","Eastern spadefoot","2","1988","2007","2714"
"339","Anas_acuta","Northern pintail","36","1956","2014","3582"
"340","Mareca_americana","American wigeon","12","1961","2014","74"
"341","Spatula_clypeata","Northern shoveler","34","1954","2014","1960"
"342","Anas_crecca","Common teal","38","1963","2014","5904"
"343","Anas_platyrhynchos","Mallard","53","1965","2019","22226"
"344","Spatula_discors","Blue-winged teal","9","1962","2014","176"
"345","Anas_rubripes","American black duck","8","1970","2014","31"
"346","Mareca_strepera","Gadwall","28","1958","2014","1975"
